
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.094 Mbyte     virtual= 18.074 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.2    ctime=00:00:00.2    rss= 45.035 Mbyte     virtual= 36.391 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 45.039 Mbyte     virtual= 36.391 Mbyte     

  4. Frequency 3.75 GHz                             : etime=00:00:03.5    ctime=00:00:07.6    rss=157.625 Mbyte     virtual=239.090 Mbyte     
     1. Frequency 3.75 GHz                          : etime=00:00:03.5    ctime=00:00:07.5    rss=156.992 Mbyte     virtual=239.063 Mbyte     
        1. constructing matrix                      : etime=00:00:00.3    ctime=00:00:01.3    rss= 46.867 Mbyte     virtual= 38.703 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 46.867 Mbyte     virtual= 38.148 Mbyte     
           2. 3d                                    : etime=00:00:00.2    ctime=00:00:00.8    rss= 46.867 Mbyte     virtual= 38.703 Mbyte     
           3. 2d                                    : etime=00:00:00.1    ctime=00:00:00.5    rss= 46.867 Mbyte     virtual= 38.703 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:02.5    ctime=00:00:05.1    rss=152.656 Mbyte     virtual=235.223 Mbyte     
        3. constructing excitation                  : etime=00:00:00.0    ctime=00:00:00.0    rss=154.230 Mbyte     virtual=236.828 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.3    ctime=00:00:00.4    rss=156.008 Mbyte     virtual=238.379 Mbyte     
        5. error estimation                         : etime=00:00:00.3    ctime=00:00:00.7    rss=156.648 Mbyte     virtual=238.828 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=157.625 Mbyte     virtual=239.090 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=157.117 Mbyte     virtual=239.090 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=157.422 Mbyte     virtual=239.090 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=157.422 Mbyte     virtual=239.090 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=157.434 Mbyte     virtual=239.090 Mbyte     

  1. setup                                          : etime=00:00:00.4    ctime=00:00:00.3    rss= 29.535 Mbyte     virtual= 19.148 Mbyte     
     1. loading mesh                                : etime=00:00:00.1    ctime=00:00:00.1    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 29.074 Mbyte     virtual= 18.945 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.1    rss= 29.047 Mbyte     virtual= 18.945 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.648 Mbyte     virtual= 18.836 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 28.922 Mbyte     virtual= 18.945 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.074 Mbyte     virtual= 18.945 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.074 Mbyte     virtual= 18.945 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.074 Mbyte     virtual= 18.945 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.2    ctime=00:00:00.3    rss= 48.473 Mbyte     virtual= 37.910 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 48.473 Mbyte     virtual= 37.910 Mbyte     

  4. Frequency 3.75 GHz                             : etime=00:00:03.2    ctime=00:00:05.0    rss=178.102 Mbyte     virtual=260.508 Mbyte     
     1. Frequency 3.75 GHz                          : etime=00:00:03.1    ctime=00:00:05.0    rss=177.504 Mbyte     virtual=260.508 Mbyte     
        1. constructing matrix                      : etime=00:00:00.4    ctime=00:00:01.6    rss= 50.090 Mbyte     virtual= 39.230 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 50.090 Mbyte     virtual= 39.230 Mbyte     
           2. 3d                                    : etime=00:00:00.2    ctime=00:00:01.1    rss= 50.090 Mbyte     virtual= 39.230 Mbyte     
           3. 2d                                    : etime=00:00:00.1    ctime=00:00:00.4    rss= 50.090 Mbyte     virtual= 39.230 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:02.5    ctime=00:00:02.8    rss=172.816 Mbyte     virtual=256.309 Mbyte     
        3. constructing excitation                  : etime=00:00:00.0    ctime=00:00:00.0    rss=174.664 Mbyte     virtual=258.203 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.1    ctime=00:00:00.3    rss=176.715 Mbyte     virtual=260.016 Mbyte     
        5. error estimation                         : etime=00:00:00.1    ctime=00:00:00.3    rss=177.406 Mbyte     virtual=260.508 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=178.102 Mbyte     virtual=260.508 Mbyte     
